time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.05702e-08	1034.12
1	5.05702e-08	1.07534e-07	1034.12
2	1.07534e-07	1.71699e-07	1034.12
3	1.71699e-07	2.43976e-07	1034.12
4	2.43976e-07	3.25391e-07	2392.36
5	3.25391e-07	4.17099e-07	2392.36
6	4.17099e-07	5.20401e-07	2392.36
7	5.20401e-07	6.36764e-07	2392.36
8	6.36764e-07	7.67837e-07	5353.48
9	7.67837e-07	9.15481e-07	5353.48
10	9.15481e-07	1.08179e-06	5353.48
11	1.08179e-06	1.26913e-06	5353.48
12	1.26913e-06	1.48015e-06	11165.5
13	1.48015e-06	1.71785e-06	11165.5
14	1.71785e-06	1.9856e-06	11165.5
15	1.9856e-06	2.2872e-06	11165.5
16	2.2872e-06	2.62693e-06	23154.5
17	2.62693e-06	3.00961e-06	23154.5
18	3.00961e-06	3.44067e-06	23154.5
19	3.44067e-06	3.92623e-06	23154.5
20	3.92623e-06	4.47317e-06	30817.5
21	4.47317e-06	5.08927e-06	30817.5
22	5.08927e-06	5.78325e-06	32244.7
23	5.78325e-06	6.56497e-06	32244.7
24	6.56497e-06	7.44552e-06	30343.3
25	7.44552e-06	8.43739e-06	30343.3
26	8.43739e-06	9.55466e-06	26617.5
27	9.55466e-06	1.08132e-05	26617.5
28	1.08132e-05	1.22308e-05	22124.7
29	1.22308e-05	1.38277e-05	22124.7
30	1.38277e-05	1.56264e-05	17618.1
31	1.56264e-05	1.76526e-05	17618.1
32	1.76526e-05	1.99349e-05	14000.8
33	1.99349e-05	2.25057e-05	14000.8
34	2.25057e-05	2.54016e-05	11098.4
35	2.54016e-05	2.86636e-05	11098.4
36	2.86636e-05	3.23379e-05	8765.62
37	3.23379e-05	3.64768e-05	8765.62
38	3.64768e-05	4.1139e-05	6923.95
39	4.1139e-05	4.63906e-05	6923.95
40	4.63906e-05	5.23061e-05	5579.65
41	5.23061e-05	5.89695e-05	5579.65
42	5.89695e-05	6.64754e-05	4721.73
43	6.64754e-05	7.49301e-05	4721.73
44	7.49301e-05	8.44538e-05	4297.94
45	8.44538e-05	9.51814e-05	4297.94
46	9.51814e-05	0.000107265	4183.41
47	0.000107265	0.000120877	4183.41
48	0.000120877	0.00013621	4220.46
49	0.00013621	0.00015348	4220.46
50	0.00015348	0.000172935	4279.27
51	0.000172935	0.000194849	4279.27
52	0.000194849	0.000219533	4183.35
53	0.000219533	0.000247338	4183.35
54	0.000247338	0.000278659	3834.01
55	0.000278659	0.000313939	3834.01
56	0.000313939	0.000353679	3318.85
57	0.000353679	0.000398444	3318.85
58	0.000398444	0.000448868	2750.68
59	0.000448868	0.000505667	2750.68
60	0.000505667	0.000569647	2142.78
61	0.000569647	0.000641715	2142.78
62	0.000641715	0.000722895	1576
63	0.000722895	0.000814338	1576
64	0.000814338	0.000917342	1146.55
65	0.000917342	0.00103337	1146.55
66	0.00103337	0.00116406	861.839
67	0.00116406	0.00131128	861.839
68	0.00131128	0.00147711	688.976
69	0.00147711	0.0016639	688.976
70	0.0016639	0.00187432	554.202
71	0.00187432	0.00211133	554.202
72	0.00211133	0.0023783	554.202
73	0.0023783	0.00267903	554.202
74	0.00267903	0.00301778	459.091
75	0.00301778	0.00339935	459.091
76	0.00339935	0.00382917	459.091
77	0.00382917	0.00431333	459.091
78	0.00431333	0.00485869	365.983
79	0.00485869	0.005473	365.983
80	0.005473	0.00616498	365.983
81	0.00616498	0.00694444	365.983
82	0.00694444	0.00782245	418.633
83	0.00782245	0.00881146	418.633
84	0.00881146	0.0099255	418.633
85	0.0099255	0.0111804	418.633
86	0.0111804	0.0125939	25.0223
87	0.0125939	0.0141862	25.0223
88	0.0141862	0.0159797	25.0223
89	0.0159797	inf	25.0223
